,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,5510,74,48,514,134,133,2604,195,70,252,163
2,Mitte,Regierungsviertel,8334,51,19,432,84,115,4370,371,52,385,89
3,Mitte,Alexanderplatz,21528,203,106,1309,364,350,10510,1074,241,1207,506
4,Mitte,Brunnenstraße Süd,4358,34,16,180,31,68,2248,488,127,356,79
5,Mitte,Moabit West,7275,76,32,557,147,159,2650,399,118,482,216
6,Mitte,Moabit Ost,10489,57,33,599,157,173,3834,426,98,498,399
7,Mitte,Osloer Straße,8412,111,52,772,190,218,3846,344,202,471,266
8,Mitte,Brunnenstraße Nord,7195,107,47,648,167,217,3183,384,178,532,302
9,Mitte,Parkviertel,7129,89,46,652,151,240,3372,353,176,473,192
10,Mitte,Wedding Zentrum,10667,131,68,1052,283,351,3802,426,257,692,511
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",424,81,54,64,28,60,1515,209,5,58,157
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,9930,119,80,675,194,224,3951,463,162,600,218
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,12345,128,60,986,264,262,5460,1010,230,854,226
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,7205,125,86,566,214,128,3197,398,97,462,405
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,7167,171,132,583,271,117,2814,373,82,508,996
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2610,30,20,187,43,72,1462,223,72,265,27
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,6190,88,57,524,144,109,3300,352,46,515,291
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,4631,16,9,300,65,91,2095,469,71,562,62
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,10271,162,116,880,287,163,5162,849,143,1184,665
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",1845,101,90,65,37,46,1352,198,1,84,149
23,Pankow,Buch,1492,6,3,123,32,79,761,95,24,171,20
24,Pankow,Blankenfelde/Niederschönhausen,1572,7,2,120,30,59,759,124,85,144,13
25,Pankow,Buchholz,909,2,1,68,16,31,459,51,38,97,9
26,Pankow,Karow,786,4,3,49,8,23,397,104,50,100,9
