,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
27,Pankow,Blankenburg/Heinersdorf/Märchenland,1504,8,1,80,17,48,839,105,53,112,7
28,Pankow,Schönholz/Wilhelmsruh/Rosenthal,1132,9,3,56,6,38,622,100,67,117,14
29,Pankow,Pankow Zentrum,3614,35,20,186,42,80,2190,614,69,316,36
30,Pankow,Pankow Süd,2512,26,15,162,47,75,1392,386,72,303,21
31,Pankow,Weißensee,3274,28,14,289,67,109,1669,257,65,382,37
32,Pankow,Weißensee Ost,1352,5,4,146,27,53,591,80,36,180,24
33,Pankow,Prenzlauer Berg Nordwest,3575,38,22,224,61,56,1935,507,45,319,76
34,Pankow,Prenzlauer Berg Nord,3310,31,13,168,37,56,1984,546,38,284,35
35,Pankow,Helmholtzplatz,2364,10,4,137,40,32,1472,364,95,215,23
36,Pankow,Prenzlauer Berg Ost,4404,30,18,247,60,63,2298,351,77,546,51
37,Pankow,Prenzlauer Berg Südwest,3786,24,13,319,95,56,2267,426,187,351,31
38,Pankow,Prenzlauer Berg Süd,2872,13,7,145,28,49,1697,380,137,321,29
39,Pankow,"Bezirk (Pk), nicht zuzuordnen",1345,37,27,68,22,44,678,170,0,36,65
41,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,2913,47,25,302,59,120,1216,64,76,246,160
42,Charlottenburg-Wilmersdorf,Heerstrasse,1448,16,10,163,52,41,692,56,96,184,26
43,Charlottenburg-Wilmersdorf,Westend,4659,36,24,222,44,121,2767,193,112,280,20
44,Charlottenburg-Wilmersdorf,Schloß Charlottenburg,2537,30,8,242,53,101,1205,231,88,233,38
45,Charlottenburg-Wilmersdorf,Mierendorffplatz,2145,41,16,138,39,68,825,71,42,119,151
46,Charlottenburg-Wilmersdorf,Otto-Suhr-Allee,5144,52,28,429,87,163,2391,361,118,368,79
47,Charlottenburg-Wilmersdorf,Neue Kantstraße,3304,36,12,235,59,77,1598,277,110,219,116
48,Charlottenburg-Wilmersdorf,Kantstraße,5256,54,21,232,51,117,2830,321,103,225,138
49,Charlottenburg-Wilmersdorf,Kurfürstendamm,9932,107,52,919,278,185,4781,216,106,376,168
50,Charlottenburg-Wilmersdorf,Halensee,2143,16,7,124,33,73,1018,107,84,153,35
51,Charlottenburg-Wilmersdorf,Grunewald,1652,13,8,82,21,51,931,56,244,124,16
52,Charlottenburg-Wilmersdorf,Schmargendorf,1048,12,7,85,14,36,607,67,99,67,8
53,Charlottenburg-Wilmersdorf,Wiesbadener Straße,1049,7,5,73,7,31,605,183,74,90,16
54,Charlottenburg-Wilmersdorf,Düsseldorfer Straße,4059,59,35,219,35,119,1878,239,170,345,69
55,Charlottenburg-Wilmersdorf,Barstraße,1696,18,14,108,22,56,854,170,59,108,39
56,Charlottenburg-Wilmersdorf,Volkspark Wilmersdorf,3838,56,35,261,51,81,1920,400,165,272,51
57,Charlottenburg-Wilmersdorf,Forst Grunewald,92,0,0,6,2,3,43,3,0,13,3
58,Charlottenburg-Wilmersdorf,"Bezirk (Ch-Wi), nicht zuzuordnen",407,41,31,0,0,50,668,102,0,0,75
60,Spandau,Hakenfelde,1545,17,10,156,42,65,705,63,36,173,32
61,Spandau,Falkenhagener Feld,3244,36,14,420,87,137,1202,164,98,357,61
62,Spandau,Spandau Mitte,6591,99,67,674,154,212,2815,304,55,546,226
63,Spandau,Brunsbütteler Damm,1598,16,12,132,35,79,780,64,75,146,24
64,Spandau,Heerstraße Nord,2730,34,24,362,67,127,1028,99,71,297,30
65,Spandau,Wilhelmstadt,5400,64,27,536,127,190,2215,240,95,467,92
66,Spandau,Haselhorst,1972,19,7,150,33,49,859,65,31,167,18
67,Spandau,Siemensstadt,2096,24,7,168,43,60,1015,102,31,165,15
68,Spandau,Gatow/Kladow,983,7,4,81,16,31,454,27,63,93,6
69,Spandau,"Bezirk (Sp), nicht zuzuordnen",340,28,23,45,15,38,317,46,0,35,45
71,Steglitz-Zehlendorf,Schloßstr.,4017,43,18,174,45,77,2302,180,115,247,40
72,Steglitz-Zehlendorf,Albrechtstr.,3179,43,25,267,43,136,1449,229,145,417,42
73,Steglitz-Zehlendorf,Lankwitz,2862,26,13,277,63,129,1147,101,101,271,116
74,Steglitz-Zehlendorf,Ostpreußendamm,2564,15,7,199,38,85,1238,222,130,309,46
75,Steglitz-Zehlendorf,Teltower Damm,2567,25,12,150,29,79,1377,311,146,315,42
76,Steglitz-Zehlendorf,Drakestr.,3251,9,7,200,29,103,1645,222,136,278,44
77,Steglitz-Zehlendorf,Zehlendorf Südwest,2470,18,14,137,25,67,1264,143,159,315,23
78,Steglitz-Zehlendorf,Zehlendorf Nord,3833,21,11,145,27,83,2379,376,446,428,44
79,Steglitz-Zehlendorf,"Bezirk (St-Zd), nicht zuzuordnen",329,10,8,26,4,30,291,76,1,0,36
81,Tempelhof-Schöneberg,Schöneberg-Nord,9190,170,105,725,210,278,4601,527,261,571,315
82,Tempelhof-Schöneberg,Schöneberg-Süd,6908,57,26,539,121,174,3036,685,168,493,216
83,Tempelhof-Schöneberg,Friedenau,4758,43,30,252,42,93,2785,472,179,407,52
84,Tempelhof-Schöneberg,Tempelhof,9127,80,49,671,142,290,3816,372,186,745,316
85,Tempelhof-Schöneberg,Mariendorf,4133,47,28,395,94,161,1807,146,142,437,96
86,Tempelhof-Schöneberg,Marienfelde,2576,27,19,204,37,85,1231,115,55,286,43
87,Tempelhof-Schöneberg,Lichtenrade,2990,28,14,304,59,138,1146,121,126,389,69
88,Tempelhof-Schöneberg,"Bezirk (Th-Sb), nicht zuzuordnen",502,44,35,27,0,36,640,102,0,39,39
90,Neukölln,Schillerpromenade,4847,71,37,519,139,158,1923,180,123,547,519
91,Neukölln,Neuköllner Mitte/Zentrum,10113,93,46,773,243,252,4450,247,154,615,176
92,Neukölln,Reuterstraße,6758,71,32,569,147,172,2898,319,192,495,129
93,Neukölln,Rixdorf,5262,88,41,576,151,159,2328,331,194,545,124
94,Neukölln,Köllnische Heide,2648,26,13,199,55,122,1132,37,48,536,42
95,Neukölln,Britz,5365,73,46,457,111,178,2243,167,175,450,92
96,Neukölln,Buckow,1541,18,8,133,20,67,687,32,81,177,7
97,Neukölln,Gropiusstadt,3868,55,39,341,92,132,1687,185,88,471,33
98,Neukölln,Buckow Nord,1003,9,4,94,15,31,468,30,51,71,9
99,Neukölln,Rudow,2499,32,18,207,54,92,1186,153,174,300,8
100,Neukölln,"Bezirk (Nk), nicht zuzuordnen",1074,44,36,84,20,65,687,51,1,46,41
102,Treptow-Köpenick,Alt-Treptow,2062,45,36,134,35,43,1198,281,38,195,66
103,Treptow-Köpenick,Plänterwald,1330,11,7,45,8,23,746,63,38,148,16
104,Treptow-Köpenick,Baumschulenweg,1557,19,8,106,23,57,894,125,52,140,21
105,Treptow-Köpenick,Johannisthal,1220,15,9,84,17,47,581,81,37,149,12
106,Treptow-Köpenick,Oberschöneweide,2180,12,5,287,65,94,987,138,23,221,50
107,Treptow-Köpenick,Niederschöneweide,1882,13,8,153,20,27,924,129,20,193,38
108,Treptow-Köpenick,Adlershof,2214,13,7,112,23,59,1054,165,28,201,19
109,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,979,5,5,117,19,36,379,78,13,101,20
110,Treptow-Köpenick,Altglienicke,1411,9,5,148,20,56,724,95,61,129,23
111,Treptow-Köpenick,Bohnsdorf,761,7,6,53,11,28,400,54,28,68,10
112,Treptow-Köpenick,Grünau,555,5,1,43,16,13,272,63,8,98,4
113,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,324,1,1,19,2,6,176,6,13,23,2
114,Treptow-Köpenick,Köpenick-Süd,898,4,2,64,10,28,437,72,15,176,12
115,Treptow-Köpenick,Allende-Viertel,491,2,0,50,13,29,222,25,8,61,5
116,Treptow-Köpenick,Altstadt-Kietz,672,2,1,84,9,22,255,53,7,90,3
117,Treptow-Köpenick,Müggelheim,198,0,0,12,2,5,105,8,16,22,3
118,Treptow-Köpenick,Friedrichshagen,1303,2,0,83,25,40,780,253,26,148,10
119,Treptow-Köpenick,Rahnsdorf/Hessenwinkel,573,2,1,33,7,16,337,79,30,63,1
120,Treptow-Köpenick,Dammvorstadt,1584,14,7,122,33,36,706,142,8,192,44
121,Treptow-Köpenick,Köpenick-Nord,678,3,2,45,11,29,342,76,25,99,13
122,Treptow-Köpenick,"Bezirk (Tp-Kp), nicht zuzuordnen",378,25,21,10,7,33,348,84,1,0,20
124,Marzahn-Hellersdorf,Marzahn-Nord,1965,32,19,440,75,96,637,94,19,195,36
125,Marzahn-Hellersdorf,Marzahn-Mitte,4716,66,43,685,149,161,1681,184,28,525,70
126,Marzahn-Hellersdorf,Marzahn-Süd,3461,55,29,339,67,118,1383,112,47,349,31
127,Marzahn-Hellersdorf,Hellersdorf-Nord,4462,32,20,634,109,189,1595,166,36,565,94
128,Marzahn-Hellersdorf,Hellersdorf-Ost,1747,19,9,245,35,78,598,104,12,193,41
129,Marzahn-Hellersdorf,Hellersdorf-Süd,2015,17,13,258,45,96,627,89,23,264,22
130,Marzahn-Hellersdorf,Biesdorf,2142,8,5,162,23,66,1112,177,62,166,32
131,Marzahn-Hellersdorf,Kaulsdorf,1151,5,1,67,10,35,540,94,75,152,5
132,Marzahn-Hellersdorf,Mahlsdorf,1925,6,3,100,20,51,1204,119,79,147,5
133,Marzahn-Hellersdorf,"Bezirk (Mz-Hd), nicht zuzuordnen",701,20,17,52,12,21,130,34,0,9,8
135,Lichtenberg,"Malchow, Wartenberg und Falkenberg",359,1,1,15,0,11,217,9,16,43,4
136,Lichtenberg,Neu-Hohenschönhausen Nord,1927,19,14,294,44,107,654,91,13,234,56
137,Lichtenberg,Neu-Hohenschönhausen Süd,2215,31,22,324,65,78,962,114,23,184,48
138,Lichtenberg,Alt-Hohenschönhausen Nord,1361,10,6,123,26,36,722,46,55,108,14
139,Lichtenberg,Alt-Hohenschönhausen Süd,2647,21,10,261,42,91,1246,123,70,280,45
140,Lichtenberg,Fennpfuhl,2679,22,11,248,47,93,1244,176,72,325,36
141,Lichtenberg,Alt-Lichtenberg,4359,40,21,321,81,90,2174,240,63,336,44
142,Lichtenberg,Frankfurter Allee Süd,1630,15,9,114,24,20,763,135,17,124,43
143,Lichtenberg,Neu Lichtenberg,3021,21,11,251,52,81,1569,292,69,384,40
144,Lichtenberg,Friedrichsfelde Nord,1443,19,12,133,38,52,686,53,36,131,13
145,Lichtenberg,Friedrichsfelde Süd,1670,14,5,141,31,45,742,132,50,190,17
146,Lichtenberg,Rummelsburger Bucht,448,2,2,33,10,13,270,41,15,41,12
147,Lichtenberg,Karlshorst,1495,7,4,104,23,51,854,242,36,128,5
148,Lichtenberg,"Bezirk (Lb), nicht zuzuordnen",364,14,13,20,4,12,304,56,0,0,1
150,Reinickendorf,Ost 1 - Reginhardstr.,3257,32,16,372,95,168,1321,178,142,297,89
151,Reinickendorf,Ost 2 - Alt-Reinickendorf,3765,52,26,330,78,134,1520,168,112,331,143
152,Reinickendorf,West 1 - Tegel-Süd/Flughafensee,1832,9,4,163,42,95,762,55,43,118,143
153,Reinickendorf,West 4 - Auguste-Viktoria-Allee,3748,41,19,330,74,124,1659,118,130,402,81
154,Reinickendorf,West 5 - Tegel/Tegeler Forst,1943,24,10,140,30,48,1024,114,20,139,55
155,Reinickendorf,West 2 - Heiligensee/Konradshöhe,1195,3,0,72,17,38,570,68,123,156,26
156,Reinickendorf,Nord 1 - Frohnau/Hermsdorf,1878,18,13,107,26,46,1124,192,242,170,33
157,Reinickendorf,Nord 2 - Waidmannslust/Wittenau/Lübars,3242,49,32,358,87,111,1479,171,123,294,67
158,Reinickendorf,MV 1 - Märkisches Viertel,4454,61,34,551,135,214,1949,154,67,418,103
159,Reinickendorf,MV 2 - Rollbergsiedlung,965,16,6,79,12,36,387,31,25,109,13
160,Reinickendorf,West 3 - Borsigwalde/Freie Scholle,1246,15,6,105,25,49,548,38,66,131,30
161,Reinickendorf,"Bezirk (Rd), nicht zuzuordnen",1655,20,15,75,15,52,1032,67,1,21,46
