,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
27,Pankow,Blankenburg/Heinersdorf/Märchenland,1252,7,2,118,32,33,655,110,53,98,11
28,Pankow,Schönholz/Wilhelmsruh/Rosenthal,931,12,7,55,12,27,480,58,63,93,5
29,Pankow,Pankow Zentrum,3445,35,23,247,61,98,1807,496,75,382,39
30,Pankow,Pankow Süd,2588,15,5,208,62,82,1273,342,45,293,28
31,Pankow,Weißensee,3244,30,16,376,96,117,1447,260,60,391,52
32,Pankow,Weißensee Ost,1409,12,7,149,22,50,593,106,18,157,37
33,Pankow,Prenzlauer Berg Nordwest,3451,29,11,254,92,65,1873,417,41,301,118
34,Pankow,Prenzlauer Berg Nord,3008,26,13,161,44,53,1772,426,58,279,46
35,Pankow,Helmholtzplatz,2777,15,7,188,54,47,1566,301,42,309,48
36,Pankow,Prenzlauer Berg Ost,4257,33,21,294,69,94,2063,302,76,473,53
37,Pankow,Prenzlauer Berg Südwest,3656,21,5,352,103,67,1997,356,80,368,50
38,Pankow,Prenzlauer Berg Süd,2677,17,9,167,39,65,1461,352,55,359,33
39,Pankow,"Bezirk (Pk), nicht zuzuordnen",1395,21,15,82,16,51,626,132,0,91,38
41,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,2846,23,9,331,82,116,1083,105,40,261,198
42,Charlottenburg-Wilmersdorf,Heerstrasse,1352,16,9,127,36,23,626,72,67,169,41
43,Charlottenburg-Wilmersdorf,Westend,4448,27,19,325,78,123,2465,174,70,272,36
44,Charlottenburg-Wilmersdorf,Schloß Charlottenburg,2463,17,8,241,42,93,1179,236,69,261,37
45,Charlottenburg-Wilmersdorf,Mierendorffplatz,2145,12,8,169,33,68,960,141,38,180,41
46,Charlottenburg-Wilmersdorf,Otto-Suhr-Allee,4858,30,13,436,105,132,2361,417,84,390,78
47,Charlottenburg-Wilmersdorf,Neue Kantstraße,3418,28,12,223,44,81,1885,260,64,237,69
48,Charlottenburg-Wilmersdorf,Kantstraße,4408,35,17,291,74,84,2591,286,72,233,58
49,Charlottenburg-Wilmersdorf,Kurfürstendamm,7878,73,32,718,203,156,4225,185,55,384,131
50,Charlottenburg-Wilmersdorf,Halensee,1923,13,7,92,22,46,1017,124,42,126,11
51,Charlottenburg-Wilmersdorf,Grunewald,1675,10,6,109,17,52,788,79,98,198,18
52,Charlottenburg-Wilmersdorf,Schmargendorf,998,3,1,55,18,25,540,64,38,76,9
53,Charlottenburg-Wilmersdorf,Wiesbadener Straße,1003,7,4,72,7,21,514,160,39,112,14
54,Charlottenburg-Wilmersdorf,Düsseldorfer Straße,3940,42,16,235,46,94,1993,296,96,338,53
55,Charlottenburg-Wilmersdorf,Barstraße,1596,6,3,157,29,69,754,178,33,138,28
56,Charlottenburg-Wilmersdorf,Volkspark Wilmersdorf,6726,31,13,245,55,71,1996,469,56,308,77
57,Charlottenburg-Wilmersdorf,Forst Grunewald,72,1,1,10,2,4,33,0,1,4,0
58,Charlottenburg-Wilmersdorf,"Bezirk (Ch-Wi), nicht zuzuordnen",1608,27,20,131,28,61,940,106,0,119,43
60,Spandau,Hakenfelde,1639,15,10,190,47,75,782,102,38,130,35
61,Spandau,Falkenhagener Feld,2753,34,17,424,87,121,1055,147,83,280,39
62,Spandau,Spandau Mitte,5955,79,46,665,159,224,2378,298,66,452,189
63,Spandau,Brunsbütteler Damm,1753,12,4,173,33,63,826,94,52,201,19
64,Spandau,Heerstraße Nord,2671,26,10,412,108,135,1046,66,106,303,35
65,Spandau,Wilhelmstadt,6412,42,21,644,176,179,2950,279,89,484,79
66,Spandau,Haselhorst,1786,18,8,171,48,58,725,65,55,119,32
67,Spandau,Siemensstadt,1590,10,9,143,32,42,763,110,36,155,22
68,Spandau,Gatow/Kladow,897,10,5,84,26,35,420,68,77,97,5
69,Spandau,"Bezirk (Sp), nicht zuzuordnen",784,10,8,54,15,48,358,43,1,60,21
71,Steglitz-Zehlendorf,Schloßstr.,3882,25,16,181,29,71,2405,348,36,209,45
72,Steglitz-Zehlendorf,Albrechtstr.,2931,22,8,287,57,110,1309,276,83,334,66
73,Steglitz-Zehlendorf,Lankwitz,2685,15,7,274,46,121,1014,122,67,329,70
74,Steglitz-Zehlendorf,Ostpreußendamm,2281,16,7,204,51,97,1018,185,104,288,42
75,Steglitz-Zehlendorf,Teltower Damm,2369,12,7,173,30,100,1066,371,92,258,37
76,Steglitz-Zehlendorf,Drakestr.,2829,11,1,156,42,83,1431,235,107,298,32
77,Steglitz-Zehlendorf,Zehlendorf Südwest,2177,15,7,138,36,85,1009,173,83,316,13
78,Steglitz-Zehlendorf,Zehlendorf Nord,3521,26,13,208,34,94,1785,395,196,484,46
79,Steglitz-Zehlendorf,"Bezirk (St-Zd), nicht zuzuordnen",734,4,3,53,10,35,404,92,0,66,22
81,Tempelhof-Schöneberg,Schöneberg-Nord,9540,131,78,757,202,211,5144,723,159,569,390
82,Tempelhof-Schöneberg,Schöneberg-Süd,7105,54,30,563,140,181,3309,626,82,550,185
83,Tempelhof-Schöneberg,Friedenau,4347,26,13,269,57,98,2386,493,88,407,55
84,Tempelhof-Schöneberg,Tempelhof,8700,57,24,668,125,269,3766,435,106,696,241
85,Tempelhof-Schöneberg,Mariendorf,3822,40,17,382,84,151,1637,166,108,369,82
86,Tempelhof-Schöneberg,Marienfelde,2337,17,4,245,45,96,973,109,49,263,49
87,Tempelhof-Schöneberg,Lichtenrade,2740,18,8,265,51,98,1133,106,127,288,60
88,Tempelhof-Schöneberg,"Bezirk (Th-Sb), nicht zuzuordnen",1020,12,10,48,16,35,661,87,0,57,33
90,Neukölln,Schillerpromenade,5249,68,42,424,138,124,2464,327,94,538,354
91,Neukölln,Neuköllner Mitte/Zentrum,8780,86,37,779,232,215,4598,357,108,667,225
92,Neukölln,Reuterstraße,6435,47,21,582,217,164,3005,437,78,532,182
93,Neukölln,Rixdorf,5186,64,32,520,154,155,2323,375,121,508,284
94,Neukölln,Köllnische Heide,2259,26,12,190,53,67,1151,51,38,218,55
95,Neukölln,Britz,5131,71,43,486,139,190,2335,173,162,434,89
96,Neukölln,Buckow,1403,6,1,162,34,75,500,28,77,169,18
97,Neukölln,Gropiusstadt,3227,54,36,362,93,112,1643,185,70,302,27
98,Neukölln,Buckow Nord,966,9,3,100,21,53,471,43,22,52,8
99,Neukölln,Rudow,2626,21,11,264,60,131,1191,128,197,276,22
100,Neukölln,"Bezirk (Nk), nicht zuzuordnen",1258,28,22,81,30,47,739,63,0,68,47
102,Treptow-Köpenick,Alt-Treptow,2345,44,25,184,51,48,1310,274,37,225,123
103,Treptow-Köpenick,Plänterwald,1016,6,3,80,18,35,501,105,19,133,17
104,Treptow-Köpenick,Baumschulenweg,1664,11,6,134,22,54,894,161,27,182,19
105,Treptow-Köpenick,Johannisthal,1415,7,6,127,26,51,654,88,37,138,26
106,Treptow-Köpenick,Oberschöneweide,2485,13,7,318,66,84,1082,157,25,303,66
107,Treptow-Köpenick,Niederschöneweide,2125,17,8,192,38,49,1083,153,14,251,44
108,Treptow-Köpenick,Adlershof,2145,19,11,125,29,43,1142,209,20,216,23
109,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,833,5,4,120,25,31,313,52,9,113,22
110,Treptow-Köpenick,Altglienicke,1565,8,4,183,35,69,712,91,69,152,19
111,Treptow-Köpenick,Bohnsdorf,987,7,2,112,27,32,459,39,41,99,16
112,Treptow-Köpenick,Grünau,620,3,2,44,9,19,243,38,11,167,1
113,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,223,1,0,14,5,8,69,11,5,29,1
114,Treptow-Köpenick,Köpenick-Süd,762,4,2,71,14,35,278,37,29,131,26
115,Treptow-Köpenick,Allende-Viertel,363,2,1,40,7,6,174,26,4,50,1
116,Treptow-Köpenick,Altstadt-Kietz,691,5,5,109,12,28,193,50,4,106,19
117,Treptow-Köpenick,Müggelheim,247,1,0,32,5,12,70,7,6,27,3
118,Treptow-Köpenick,Friedrichshagen,1174,4,3,87,19,35,579,180,8,172,11
119,Treptow-Köpenick,Rahnsdorf/Hessenwinkel,551,4,3,58,12,16,275,79,25,60,2
120,Treptow-Köpenick,Dammvorstadt,1553,15,7,142,38,46,686,105,18,159,24
121,Treptow-Köpenick,Köpenick-Nord,560,4,3,50,13,16,253,67,30,75,7
122,Treptow-Köpenick,"Bezirk (Tp-Kp), nicht zuzuordnen",932,20,11,84,26,33,483,94,1,83,25
124,Marzahn-Hellersdorf,Marzahn-Nord,2100,22,13,363,66,92,723,101,22,255,26
125,Marzahn-Hellersdorf,Marzahn-Mitte,5180,39,26,696,124,195,2351,155,53,519,79
126,Marzahn-Hellersdorf,Marzahn-Süd,4356,20,9,392,73,116,1765,101,64,337,48
127,Marzahn-Hellersdorf,Hellersdorf-Nord,4005,39,22,581,111,139,1470,105,25,617,89
128,Marzahn-Hellersdorf,Hellersdorf-Ost,1605,24,11,291,51,69,558,113,12,218,23
129,Marzahn-Hellersdorf,Hellersdorf-Süd,1969,10,6,291,51,86,668,64,17,283,41
130,Marzahn-Hellersdorf,Biesdorf,2214,18,8,181,33,65,1112,159,133,237,16
131,Marzahn-Hellersdorf,Kaulsdorf,1237,8,4,190,13,35,455,99,55,142,13
132,Marzahn-Hellersdorf,Mahlsdorf,1299,9,3,101,19,44,543,101,77,196,10
133,Marzahn-Hellersdorf,"Bezirk (Mz-Hd), nicht zuzuordnen",854,10,9,66,17,30,296,49,0,67,12
135,Lichtenberg,"Malchow, Wartenberg und Falkenberg",234,1,0,25,4,10,117,11,23,23,2
136,Lichtenberg,Neu-Hohenschönhausen Nord,1806,23,10,247,45,63,722,119,25,199,64
137,Lichtenberg,Neu-Hohenschönhausen Süd,2106,23,15,295,69,63,979,122,25,195,45
138,Lichtenberg,Alt-Hohenschönhausen Nord,1546,12,7,170,29,41,736,71,53,141,25
139,Lichtenberg,Alt-Hohenschönhausen Süd,2307,12,9,201,32,68,1118,129,65,263,42
140,Lichtenberg,Fennpfuhl,2653,34,27,231,46,87,1288,149,72,339,29
141,Lichtenberg,Alt-Lichtenberg,5019,24,11,513,119,136,2342,222,66,428,67
142,Lichtenberg,Frankfurter Allee Süd,2410,20,14,158,50,44,857,97,15,171,59
143,Lichtenberg,Neu Lichtenberg,3201,19,13,307,68,98,1524,275,50,371,75
144,Lichtenberg,Friedrichsfelde Nord,1234,8,5,128,30,35,550,49,16,138,30
145,Lichtenberg,Friedrichsfelde Süd,1784,17,10,160,27,56,784,101,22,232,27
146,Lichtenberg,Rummelsburger Bucht,443,2,2,32,6,12,251,64,14,58,10
147,Lichtenberg,Karlshorst,1751,7,5,136,37,54,913,265,83,146,26
148,Lichtenberg,"Bezirk (Lb), nicht zuzuordnen",885,16,12,37,15,18,307,49,0,68,14
150,Reinickendorf,Ost 1 - Reginhardstr.,2796,23,11,341,92,102,1035,169,63,293,93
151,Reinickendorf,Ost 2 - Alt-Reinickendorf,3323,37,20,315,69,110,1303,107,75,321,112
152,Reinickendorf,West 1 - Tegel-Süd/Flughafensee,5197,21,7,226,64,101,995,49,55,140,269
153,Reinickendorf,West 4 - Auguste-Viktoria-Allee,3434,30,10,429,104,173,1268,77,46,246,104
154,Reinickendorf,West 5 - Tegel/Tegeler Forst,1963,14,5,209,54,54,953,68,22,175,29
155,Reinickendorf,West 2 - Heiligensee/Konradshöhe,946,1,0,77,18,44,397,43,61,98,31
156,Reinickendorf,Nord 1 - Frohnau/Hermsdorf,1873,10,9,136,24,58,918,202,178,196,34
157,Reinickendorf,Nord 2 - Waidmannslust/Wittenau/Lübars,3286,33,16,385,100,138,1257,99,116,352,97
158,Reinickendorf,MV 1 - Märkisches Viertel,3519,41,24,529,110,199,1412,88,45,290,84
159,Reinickendorf,MV 2 - Rollbergsiedlung,939,9,4,85,20,40,333,17,21,143,15
160,Reinickendorf,West 3 - Borsigwalde/Freie Scholle,1175,6,3,110,24,38,520,74,41,132,24
161,Reinickendorf,"Bezirk (Rd), nicht zuzuordnen",1642,11,9,100,24,49,944,42,1,73,35
