,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,5300,62,39,521,145,127,2603,347,50,260,179
2,Mitte,Regierungsviertel,13270,40,17,456,87,159,4592,309,75,362,87
3,Mitte,Alexanderplatz,21103,143,90,1763,478,317,10596,929,148,1162,804
4,Mitte,Brunnenstraße Süd,4622,38,18,256,62,64,2277,462,77,449,81
5,Mitte,Moabit West,7988,66,40,690,177,215,2602,428,102,546,792
6,Mitte,Moabit Ost,10504,50,33,698,161,218,4458,446,82,478,462
7,Mitte,Osloer Straße,6715,55,36,736,174,252,2740,244,86,441,227
8,Mitte,Brunnenstraße Nord,6846,58,29,659,178,234,3069,346,94,542,197
9,Mitte,Parkviertel,6564,83,45,755,159,259,2863,287,129,506,200
10,Mitte,Wedding Zentrum,9532,99,59,1038,276,291,3550,405,117,703,655
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",4272,69,59,284,105,85,2565,175,0,176,155
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,9423,115,61,692,233,223,3953,454,82,640,1003
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,10519,96,50,773,241,243,5745,1288,110,754,247
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,6032,78,54,511,183,114,2632,294,42,403,683
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,4973,96,64,393,162,84,2095,412,60,458,781
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2343,21,14,171,47,60,1304,262,78,276,25
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,6214,65,45,639,220,108,2802,295,54,472,595
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,4386,26,12,320,101,76,1894,377,56,516,126
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,9085,74,47,902,353,186,3733,597,129,1017,949
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",1874,37,27,135,49,45,1050,140,0,93,132
23,Pankow,Buch,1597,16,7,208,52,62,655,117,24,211,36
24,Pankow,Blankenfelde/Niederschönhausen,1449,5,1,108,25,41,711,109,49,157,10
25,Pankow,Buchholz,766,5,2,49,7,28,372,44,20,89,9
26,Pankow,Karow,848,4,3,87,18,33,406,96,73,75,19
