,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,5541,82,59,480,109,108,2763,247,52,304,137
2,Mitte,Regierungsviertel,9179,76,34,433,89,126,5399,371,48,304,48
3,Mitte,Alexanderplatz,22955,157,90,1440,408,320,12150,1082,236,1171,499
4,Mitte,Brunnenstraße Süd,4449,29,13,204,40,61,2419,418,108,346,72
5,Mitte,Moabit West,7388,115,54,569,150,186,3017,338,112,444,165
6,Mitte,Moabit Ost,13957,85,45,738,192,204,4928,452,98,446,341
7,Mitte,Osloer Straße,8000,98,59,788,243,247,3617,316,167,478,231
8,Mitte,Brunnenstraße Nord,6777,85,37,562,145,196,2912,405,113,480,272
9,Mitte,Parkviertel,7098,83,45,677,177,214,3582,343,126,491,198
10,Mitte,Wedding Zentrum,10164,148,90,1027,308,354,3857,436,203,643,581
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",1367,82,63,189,62,62,1969,186,2,149,94
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,10327,125,61,659,187,221,4574,439,152,650,415
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,12629,113,50,812,200,204,6665,1209,240,783,360
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,7955,143,72,633,224,109,3683,376,86,464,540
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,8340,167,106,469,189,141,3384,411,85,442,1949
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2439,34,18,149,45,47,1449,233,76,215,36
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,6488,126,82,518,145,104,3492,301,44,463,438
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,4623,28,15,320,95,78,2113,396,60,554,71
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,11589,196,100,999,360,160,5581,692,121,1023,1468
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",2967,95,77,149,55,42,1904,158,2,129,294
23,Pankow,Buch,1801,9,5,175,47,76,876,146,24,251,30
24,Pankow,Blankenfelde/Niederschönhausen,1469,7,1,113,21,56,729,117,67,145,18
25,Pankow,Buchholz,795,2,0,61,12,23,384,36,34,92,5
26,Pankow,Karow,802,7,4,59,13,36,428,92,38,92,4
27,Pankow,Blankenburg/Heinersdorf/Märchenland,1417,8,1,96,25,38,783,127,62,94,6
28,Pankow,Schönholz/Wilhelmsruh/Rosenthal,1061,6,1,56,7,31,566,74,67,108,8
29,Pankow,Pankow Zentrum,3877,38,22,229,50,90,2272,634,89,395,41
30,Pankow,Pankow Süd,2703,34,20,158,32,71,1480,336,73,260,37
31,Pankow,Weißensee,4186,21,7,336,73,135,2404,354,97,466,45
32,Pankow,Weißensee Ost,1459,6,2,135,25,45,713,84,46,167,33
33,Pankow,Prenzlauer Berg Nordwest,3750,39,20,188,53,47,2277,413,58,309,68
34,Pankow,Prenzlauer Berg Nord,3954,24,8,191,40,54,2619,541,56,246,30
35,Pankow,Helmholtzplatz,3069,7,4,133,36,40,2114,323,69,280,20
36,Pankow,Prenzlauer Berg Ost,4774,31,16,228,48,72,2826,392,76,517,43
37,Pankow,Prenzlauer Berg Südwest,4042,17,9,285,80,51,2519,388,116,396,46
38,Pankow,Prenzlauer Berg Süd,3561,13,8,144,34,52,2374,351,96,334,16
39,Pankow,"Bezirk (Pk), nicht zuzuordnen",1436,34,23,80,23,35,636,160,0,91,60
41,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,2945,24,11,235,39,116,1193,68,72,223,160
42,Charlottenburg-Wilmersdorf,Heerstrasse,2099,12,7,150,39,39,861,76,110,146,33
