,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,5096,70,46,586,194,118,2263,120,68,273,171
2,Mitte,Regierungsviertel,6625,65,29,474,123,142,3203,170,37,380,98
3,Mitte,Alexanderplatz,19211,242,136,1541,454,304,8988,822,275,1538,435
4,Mitte,Brunnenstraße Süd,4015,52,25,254,60,66,1916,396,131,428,213
5,Mitte,Moabit West,7343,130,51,629,185,199,2470,325,161,516,259
6,Mitte,Moabit Ost,6128,89,45,549,147,204,2290,337,90,392,416
7,Mitte,Osloer Straße,7889,120,46,785,223,267,3666,280,226,521,246
8,Mitte,Brunnenstraße Nord,6336,145,71,675,192,191,2928,218,252,495,162
9,Mitte,Parkviertel,6870,109,48,783,211,318,2879,365,157,568,244
10,Mitte,Wedding Zentrum,9527,216,104,1210,426,384,3396,294,298,806,570
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",6521,15,9,435,147,49,2487,31,0,263,35
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,7779,138,71,723,222,263,2928,321,219,700,351
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,10688,180,88,932,274,241,5170,913,390,915,397
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,4951,112,70,504,153,126,2330,311,115,456,168
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,4379,109,82,395,138,101,1932,347,150,441,423
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2693,58,34,235,61,55,1242,185,56,356,23
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,5569,86,57,471,123,105,2725,299,59,537,167
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,3580,34,16,265,83,80,1528,286,59,534,50
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8080,140,80,865,276,159,3588,616,166,1171,256
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",2468,11,6,223,53,23,607,7,0,389,18
23,Pankow,Buch,1791,16,6,154,45,48,1035,199,21,191,31
