,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
23,Pankow,Buch,1586,12,5,119,20,66,858,143,29,210,33
24,Pankow,Blankenfelde/Niederschönhausen,1795,16,4,126,28,80,894,168,62,180,15
25,Pankow,Buchholz,1012,3,2,75,19,36,483,45,23,130,8
26,Pankow,Karow,910,4,2,106,19,40,449,101,36,88,6
27,Pankow,Blankenburg/Heinersdorf/Märchenland,1490,6,1,66,12,38,824,121,63,119,14
28,Pankow,Schönholz/Wilhelmsruh/Rosenthal,1043,15,8,60,13,38,604,126,67,80,10
29,Pankow,Pankow Zentrum,3711,37,11,221,47,104,2164,570,102,337,29
30,Pankow,Pankow Süd,2386,16,9,226,52,87,1211,392,59,230,27
31,Pankow,Weißensee,3284,28,9,278,56,127,1655,251,63,425,44
32,Pankow,Weißensee Ost,1420,11,8,146,25,47,626,61,26,132,32
33,Pankow,Prenzlauer Berg Nordwest,3146,51,31,208,62,59,1718,407,67,325,69
34,Pankow,Prenzlauer Berg Nord,3208,21,6,202,43,65,1914,452,52,254,52
35,Pankow,Helmholtzplatz,2128,14,4,148,38,44,1280,279,90,238,20
36,Pankow,Prenzlauer Berg Ost,3974,43,21,243,59,72,2151,337,43,430,68
37,Pankow,Prenzlauer Berg Südwest,3717,29,12,325,86,56,2201,349,118,403,45
38,Pankow,Prenzlauer Berg Süd,3012,17,9,154,33,76,1633,394,87,327,47
39,Pankow,"Bezirk (Pk), nicht zuzuordnen",1267,9,5,90,20,16,398,7,5,188,20
41,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,2730,53,16,298,64,154,1119,65,79,230,156
42,Charlottenburg-Wilmersdorf,Heerstrasse,1425,19,8,127,41,45,720,56,62,143,22
43,Charlottenburg-Wilmersdorf,Westend,3977,31,10,192,46,116,2344,193,110,226,23
44,Charlottenburg-Wilmersdorf,Schloß Charlottenburg,2435,46,21,205,46,92,1205,256,92,186,63
45,Charlottenburg-Wilmersdorf,Mierendorffplatz,1874,40,22,146,32,70,846,103,57,130,96
46,Charlottenburg-Wilmersdorf,Otto-Suhr-Allee,5000,60,24,385,98,127,2260,355,157,410,141
47,Charlottenburg-Wilmersdorf,Neue Kantstraße,2985,46,17,247,55,108,1384,278,108,290,135
48,Charlottenburg-Wilmersdorf,Kantstraße,5035,60,28,295,79,98,2798,268,119,211,165
49,Charlottenburg-Wilmersdorf,Kurfürstendamm,8737,112,46,919,287,183,4299,172,106,342,197
50,Charlottenburg-Wilmersdorf,Halensee,2114,23,8,135,25,71,1011,172,85,167,30
51,Charlottenburg-Wilmersdorf,Grunewald,1667,13,6,96,28,68,950,82,164,123,13
52,Charlottenburg-Wilmersdorf,Schmargendorf,1244,11,5,72,14,33,816,69,111,110,8
53,Charlottenburg-Wilmersdorf,Wiesbadener Straße,1175,12,4,83,12,43,656,127,55,140,2
54,Charlottenburg-Wilmersdorf,Düsseldorfer Straße,3855,37,15,258,69,109,1970,263,194,330,52
55,Charlottenburg-Wilmersdorf,Barstraße,1726,23,14,116,29,57,903,154,64,143,20
56,Charlottenburg-Wilmersdorf,Volkspark Wilmersdorf,3353,51,13,227,62,95,1690,356,100,303,50
57,Charlottenburg-Wilmersdorf,Forst Grunewald,147,1,1,15,5,5,68,4,0,21,2
58,Charlottenburg-Wilmersdorf,"Bezirk (Ch-Wi), nicht zuzuordnen",2048,1,0,182,57,33,694,0,0,254,5
60,Spandau,Hakenfelde,2034,14,8,172,42,76,1005,56,52,222,40
61,Spandau,Falkenhagener Feld,3041,52,21,445,85,150,1170,146,89,351,46
62,Spandau,Spandau Mitte,6492,96,46,758,181,243,2471,267,72,602,223
63,Spandau,Brunsbütteler Damm,1829,16,7,167,44,59,911,62,58,229,21
64,Spandau,Heerstraße Nord,3002,29,15,377,102,159,1124,71,71,352,34
65,Spandau,Wilhelmstadt,5832,43,21,478,111,217,2470,188,92,480,120
66,Spandau,Haselhorst,2169,20,8,156,40,64,1099,59,53,238,25
67,Spandau,Siemensstadt,1655,19,11,158,34,67,775,83,30,155,12
68,Spandau,Gatow/Kladow,1005,4,1,70,16,32,456,25,80,141,4
69,Spandau,"Bezirk (Sp), nicht zuzuordnen",1060,2,1,36,6,11,244,7,1,150,3
71,Steglitz-Zehlendorf,Schloßstr.,4723,67,32,205,30,71,2879,176,107,235,40
72,Steglitz-Zehlendorf,Albrechtstr.,3292,54,22,263,52,145,1617,232,162,332,59
73,Steglitz-Zehlendorf,Lankwitz,3117,34,14,311,60,138,1315,122,137,364,88
74,Steglitz-Zehlendorf,Ostpreußendamm,2571,19,11,232,52,97,1286,188,89,235,55
75,Steglitz-Zehlendorf,Teltower Damm,2562,35,14,153,30,92,1403,284,148,254,51
76,Steglitz-Zehlendorf,Drakestr.,3494,30,7,198,33,108,1936,222,166,289,49
77,Steglitz-Zehlendorf,Zehlendorf Südwest,2367,21,11,161,28,77,1289,149,155,215,33
78,Steglitz-Zehlendorf,Zehlendorf Nord,3931,27,11,219,44,118,2207,226,292,404,46
79,Steglitz-Zehlendorf,"Bezirk (St-Zd), nicht zuzuordnen",819,1,1,44,8,26,214,2,0,209,2
81,Tempelhof-Schöneberg,Schöneberg-Nord,9376,241,122,786,237,243,4449,447,233,681,307
82,Tempelhof-Schöneberg,Schöneberg-Süd,6281,93,49,548,149,177,2900,627,162,518,218
83,Tempelhof-Schöneberg,Friedenau,5092,62,19,259,43,115,2909,424,89,402,75
84,Tempelhof-Schöneberg,Tempelhof,8717,88,35,659,155,299,3581,348,145,703,300
85,Tempelhof-Schöneberg,Mariendorf,4437,60,35,417,90,178,1886,140,145,493,102
86,Tempelhof-Schöneberg,Marienfelde,2707,23,12,243,56,109,1310,78,68,225,50
87,Tempelhof-Schöneberg,Lichtenrade,3034,31,14,339,64,135,1231,98,179,338,64
88,Tempelhof-Schöneberg,"Bezirk (Th-Sb), nicht zuzuordnen",1471,2,2,69,14,22,375,7,1,105,6
90,Neukölln,Schillerpromenade,6035,144,84,679,218,208,2193,201,140,561,929
91,Neukölln,Neuköllner Mitte/Zentrum,9258,135,69,843,237,248,4367,226,175,618,200
92,Neukölln,Reuterstraße,6176,95,49,509,182,173,2808,300,151,567,232
93,Neukölln,Rixdorf,5243,125,72,603,168,201,2211,269,148,509,110
94,Neukölln,Köllnische Heide,3045,30,16,231,65,132,1339,34,44,508,29
95,Neukölln,Britz,4921,75,47,427,113,199,2123,156,159,413,53
96,Neukölln,Buckow,1642,24,11,138,38,69,687,39,93,227,23
97,Neukölln,Gropiusstadt,3961,76,37,274,65,115,1775,164,72,479,28
98,Neukölln,Buckow Nord,989,11,3,88,19,38,461,25,28,91,5
99,Neukölln,Rudow,2783,32,19,230,69,104,1344,144,153,288,16
100,Neukölln,"Bezirk (Nk), nicht zuzuordnen",769,5,4,57,17,11,230,0,0,52,10
102,Treptow-Köpenick,Alt-Treptow,2006,45,29,127,30,33,1069,228,42,166,65
103,Treptow-Köpenick,Plänterwald,1073,12,7,82,16,25,594,77,32,133,6
104,Treptow-Köpenick,Baumschulenweg,1457,21,12,95,20,59,684,100,47,167,24
105,Treptow-Köpenick,Johannisthal,1385,11,4,99,16,61,619,75,45,164,15
106,Treptow-Köpenick,Oberschöneweide,2620,23,13,353,81,99,1066,119,27,372,41
107,Treptow-Köpenick,Niederschöneweide,1966,14,5,145,40,44,903,133,10,169,32
108,Treptow-Köpenick,Adlershof,1903,20,13,118,34,57,960,204,18,158,13
109,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,1016,10,5,143,35,41,327,75,13,202,20
110,Treptow-Köpenick,Altglienicke,1389,7,3,164,32,73,634,97,46,130,23
111,Treptow-Köpenick,Bohnsdorf,763,6,2,66,9,30,352,43,28,115,14
112,Treptow-Köpenick,Grünau,476,2,0,22,5,12,233,72,15,56,7
113,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,333,1,0,21,3,12,171,3,13,27,0
114,Treptow-Köpenick,Köpenick-Süd,794,1,1,73,9,31,361,61,10,133,7
115,Treptow-Köpenick,Allende-Viertel,375,0,0,38,2,14,198,51,2,48,2
116,Treptow-Köpenick,Altstadt-Kietz,601,7,2,94,15,24,220,61,9,88,5
117,Treptow-Köpenick,Müggelheim,239,0,0,14,1,16,107,7,6,26,1
118,Treptow-Köpenick,Friedrichshagen,997,10,4,73,16,36,560,221,13,112,2
119,Treptow-Köpenick,Rahnsdorf/Hessenwinkel,587,2,2,25,4,23,348,69,37,55,2
120,Treptow-Köpenick,Dammvorstadt,1766,10,4,139,28,37,807,163,10,150,51
121,Treptow-Köpenick,Köpenick-Nord,585,4,2,38,14,31,281,59,27,73,1
122,Treptow-Köpenick,"Bezirk (Tp-Kp), nicht zuzuordnen",1063,3,1,80,25,17,275,5,1,278,11
124,Marzahn-Hellersdorf,Marzahn-Nord,2347,38,17,402,87,115,795,88,30,279,33
125,Marzahn-Hellersdorf,Marzahn-Mitte,5287,81,31,782,165,184,1973,147,43,505,78
126,Marzahn-Hellersdorf,Marzahn-Süd,3601,52,21,340,68,125,1631,114,37,356,23
127,Marzahn-Hellersdorf,Hellersdorf-Nord,4263,61,35,717,141,194,1465,169,23,581,83
128,Marzahn-Hellersdorf,Hellersdorf-Ost,1641,30,20,205,38,80,568,126,14,224,32
129,Marzahn-Hellersdorf,Hellersdorf-Süd,1923,34,23,286,48,86,657,102,20,252,33
130,Marzahn-Hellersdorf,Biesdorf,2317,10,4,177,23,77,1260,190,55,215,18
131,Marzahn-Hellersdorf,Kaulsdorf,1113,9,4,71,13,41,504,86,82,122,7
132,Marzahn-Hellersdorf,Mahlsdorf,1493,9,3,86,14,55,734,86,112,130,15
133,Marzahn-Hellersdorf,"Bezirk (Mz-Hd), nicht zuzuordnen",958,3,0,73,18,15,243,6,0,154,2
135,Lichtenberg,"Malchow, Wartenberg und Falkenberg",407,2,0,23,3,12,246,8,35,29,5
136,Lichtenberg,Neu-Hohenschönhausen Nord,2191,29,16,333,59,81,802,99,18,201,67
137,Lichtenberg,Neu-Hohenschönhausen Süd,2346,32,8,287,49,64,980,78,40,274,40
138,Lichtenberg,Alt-Hohenschönhausen Nord,1672,13,3,117,23,48,845,37,44,193,14
139,Lichtenberg,Alt-Hohenschönhausen Süd,2630,31,16,206,37,93,1367,151,66,316,34
140,Lichtenberg,Fennpfuhl,2456,26,14,257,49,78,1170,188,44,318,25
141,Lichtenberg,Alt-Lichtenberg,4191,37,22,372,99,109,1943,178,52,388,56
142,Lichtenberg,Frankfurter Allee Süd,1284,18,10,90,15,31,646,137,16,104,53
143,Lichtenberg,Neu Lichtenberg,2872,34,16,246,48,68,1382,287,30,318,65
144,Lichtenberg,Friedrichsfelde Nord,1525,15,4,147,33,50,716,34,39,142,17
145,Lichtenberg,Friedrichsfelde Süd,1631,25,8,161,32,61,743,88,49,202,14
146,Lichtenberg,Rummelsburger Bucht,368,6,4,19,7,8,173,25,9,63,8
147,Lichtenberg,Karlshorst,1548,10,5,111,22,44,852,157,70,192,5
148,Lichtenberg,"Bezirk (Lb), nicht zuzuordnen",1081,4,3,64,24,6,209,7,0,169,6
150,Reinickendorf,Ost 1 - Reginhardstr.,2957,38,15,393,94,166,1183,158,80,260,132
151,Reinickendorf,Ost 2 - Alt-Reinickendorf,3410,49,21,313,63,130,1433,170,60,322,152
152,Reinickendorf,West 1 - Tegel-Süd/Flughafensee,3070,15,5,228,52,89,1446,53,76,175,228
153,Reinickendorf,West 4 - Auguste-Viktoria-Allee,3463,45,17,342,80,166,1375,117,67,321,100
154,Reinickendorf,West 5 - Tegel/Tegeler Forst,1980,23,13,158,38,53,969,102,19,165,41
155,Reinickendorf,West 2 - Heiligensee/Konradshöhe,1308,4,3,90,15,48,639,77,129,212,27
156,Reinickendorf,Nord 1 - Frohnau/Hermsdorf,2051,25,9,117,23,49,1180,273,205,227,19
157,Reinickendorf,Nord 2 - Waidmannslust/Wittenau/Lübars,3330,45,22,310,61,130,1631,169,99,264,97
158,Reinickendorf,MV 1 - Märkisches Viertel,4457,86,57,600,135,219,1986,133,67,428,139
159,Reinickendorf,MV 2 - Rollbergsiedlung,1092,14,9,85,21,39,487,26,36,116,14
160,Reinickendorf,West 3 - Borsigwalde/Freie Scholle,1337,15,7,121,27,52,645,70,64,117,33
161,Reinickendorf,"Bezirk (Rd), nicht zuzuordnen",1362,3,0,23,7,7,136,0,1,92,7
