,Borough,Neighborhood,Total records,Robbery,Street robbery,Total physical injury,Serious bodily harm,Coercion,Total theft,Bicycle theft,Burglary,Property damage,Drug offenses
1,Mitte,Tiergarten Süd,5494,88,60,522,148,124,2652,149,62,263,114
2,Mitte,Regierungsviertel,6987,53,25,480,120,128,3862,254,33,355,67
3,Mitte,Alexanderplatz,19097,237,149,1442,354,333,10165,926,281,1301,590
4,Mitte,Brunnenstraße Süd,4368,41,14,226,51,68,2503,358,137,366,92
5,Mitte,Moabit West,6620,94,47,597,156,231,2441,336,139,532,209
6,Mitte,Moabit Ost,7021,76,37,496,122,181,2536,353,128,418,362
7,Mitte,Osloer Straße,7870,125,64,814,210,253,3540,279,166,441,366
8,Mitte,Brunnenstraße Nord,6818,126,58,667,164,200,3248,269,196,454,299
9,Mitte,Parkviertel,6832,87,38,712,206,269,2924,290,154,541,236
10,Mitte,Wedding Zentrum,9348,160,76,1156,341,382,3307,319,201,822,526
11,Mitte,"Bezirk (Mi), nicht zuzuordnen",6480,9,5,403,94,64,2136,14,0,251,3
13,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,7957,125,76,693,185,243,3394,345,186,639,265
14,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,10478,143,81,869,242,282,5097,935,338,805,352
15,Friedrichshain-Kreuzberg,nördliche Luisenstadt,5543,140,108,556,192,115,2805,351,103,510,208
16,Friedrichshain-Kreuzberg,südliche Luisenstadt,5815,210,169,562,199,90,2474,371,119,468,767
17,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,2453,31,18,214,63,66,1361,184,56,255,27
18,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,5551,87,62,492,144,107,2844,267,68,530,219
19,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,3817,33,19,298,71,77,1769,395,76,440,64
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,8693,124,80,897,297,156,4070,660,144,1270,468
21,Friedrichshain-Kreuzberg,"Bezirk (Fh-Kb), nicht zuzuordnen",2340,13,9,211,44,32,660,7,0,177,21
